Firm-specific Questions,"Do we have derivatives exposures (OTC or exchange-traded) requiring transaction and counterparty reporting under EMIR (EU)? If so, what would be the recommended actions to take to stay in compliance under new regulations? "
Firm-specific Questions,"In the last 6 months, which regulatory update added a requirement for fund managers to rapidly report significant events?"
Firm-specific Questions,"What new compliance challenges arise from digital asset trading in the last 6 months? How do those changes apply to the provided audit, pipelines and trading data? "
Firm-specific Questions,"Given the data, are any of our funds marketed or managed in the EU, triggering AIFMD Annex IV reporting?"
Firm-specific Questions,"Given the provided data, can you tell me if our data storage and recordkeeping practices comply with SEC Rules 204-2, 17a-4, and relevant CFTC/NFA standards (WORM, ERS, audit trails)?"
Firm-specific Questions,"Given the provided data, what compliance check is necessary if a regulatory rule sets a 24-hour breach threshold?"
Generic Compliance Questions,How does the ISDA Master Agreement impact derivatives trading? 
Generic Compliance Questions,What types of operational updates are recommended after regulation changes?
Generic Compliance Questions,What is required for recordkeeping under recent SEC/FINRA rules?
Generic Compliance Questions,What questions should a fund manager ask to determine if regulations or updates apply?
